bank_name,location,concatenated_text,review_count,avg_rating,detected_language,sentiment,sentiment_score
Al Barid Bank,"48 Av. Al Maghrib Al Arabi, Rabat, Morocco",the only atm in morocco without commissions easy and safe way to withdraw money very bad experience at the morocco post agency on avenue mohammed v waiting more than hours for a simple cash transaction is unacceptable the service is slow disorganized and the staff seems overwhelmed its really frustrating to waste so much time on simple tasks really disappointing very bad service no courtesy or respect from the agents of this agency they dont even do their job properly agency nil nil nil although it has a good positioning in the center of the city and not far from the parliament very bad experience at the morocco post agency on avenue mohammed v waiting more than hours for a simple cash transaction is unacceptable the service is slow disorganized and the staff seems overwhelmed its really frustrating to waste so much time on simple tasks really disappointing very bad experience at the morocco post agency on avenue mohammed v waiting more than hours for a simple cash transaction is unacceptable the service is slow disorganized and the staff seems overwhelmed its really frustrating to waste so much time on simple tasks really disappointing the only atm in morocco without commissions easy and safe way to withdraw money poor quality service lets wait hours for a basic service the lack of staff is truly shameful for a large agency located in the heart of rabat and near the parliament toss bank atm fee free as of december the only atm in morocco without commissions easy and safe way to withdraw money toss bank atm fee free as of december poor quality service lets wait hours for a basic service the lack of staff is truly shameful for a large agency located in the heart of rabat and near the parliament very bad experience at the morocco post agency on avenue mohammed v waiting more than hours for a simple cash transaction is unacceptable the service is slow disorganized and the staff seems overwhelmed its really frustrating to waste so much time on simple tasks really disappointing very bad experience at the morocco post agency on avenue mohammed v waiting more than hours for a simple cash transaction is unacceptable the service is slow disorganized and the staff seems overwhelmed its really frustrating to waste so much time on simple tasks really disappointing poor quality service lets wait hours for a basic service the lack of staff is truly shameful for a large agency located in the heart of rabat and near the parliament toss bank atm fee free as of december very bad service no courtesy or respect from the agents of this agency they dont even do their job properly agency nil nil nil although it has a good positioning in the center of the city and not far from the parliament the only atm in morocco without commissions easy and safe way to withdraw money toss bank atm fee free as of december toss bank atm fee free as of december poor quality service lets wait hours for a basic service the lack of staff is truly shameful for a large agency located in the heart of rabat and near the parliament the only atm in morocco without commissions easy and safe way to withdraw money very bad service no courtesy or respect from the agents of this agency they dont even do their job properly agency nil nil nil although it has a good positioning in the center of the city and not far from the parliament very bad service no courtesy or respect from the agents of this agency they dont even do their job properly agency nil nil nil although it has a good positioning in the center of the city and not far from the parliament poor quality service lets wait hours for a basic service the lack of staff is truly shameful for a large agency located in the heart of rabat and near the parliament very bad service no courtesy or respect from the agents of this agency they dont even do their job properly agency nil nil nil although it has a good positioning in the center of the city and not far from the parliament,25,2.6,en,Neutral,-0.037380952380952334
Al Barid Bank,"5382+PWW, R610, Nador, Morocco",bad customer service do you transport goods to tunisia is correct the treatment of customers is degrading they do not have any type of education or training in dealing with clients they have the sign hanging next to it saying working for customer service is our priority but they dont even know how to say good morning with bitter faces and no desire to work today tuesday november at a lady helped me at ticket office to was still talking to tell her what she wanted and she already called the next number with arrogance and a lack of education incredible have someone give them training on basic principles of customer service and explain to them that that is why this agency exists and that their jobs depend on us the clients if morocco does not advance it is because of the lack of seriousness in matters like this and unfortunately most people leave with their heads bowed because they do not know how to file complaints or claims and that is the force on which irresponsible workers rely peoples ignorance thats why i leave my review to see if someone among them with a hint of responsibility towards their country reads it and spreads the word for a change towards a better morocco why the continuing schedule cannot be explained to the zegangan agency which closes from pm to pm,5,2.4,en,Positive,0.20000000000000004
Al Barid Bank,"5R9W+P75, Larache, Morocco",nan nan bad treatment with customers,3,2.33,en,Negative,-0.6999999999999998
Al Barid Bank,"5RWX+6P9, Larache, Morocco",nan regarding the larache city post office the service is substandard and there is always a problem in festam great and easy services nan nan,5,3.4,en,Positive,0.6166666666666667
Al Barid Bank,"5VG3+W83, Av. Martyr Sergent Maimoune Assra, Larache, Morocco",the worse they always leave at for lunch never get back useless nan nan,3,3.67,en,Negative,-0.3
Al Barid Bank,"6, 1 Rue Bani Marine, Marrakesh 40000, Morocco",several machines available you usually have to wait in line for a while but there are no additional fees unlike many other banks youre happy to accept a little waiting time its best to come by first thing in the morning in the evening the machine is often empty and larger withdrawals are no longer possible i have to refute the previous comment the atm right from the entrance is only for exchange not for withdrawal i tried theres an al barid atm on the right side of the post office also for cash withdrawals no transaction fee and there was no one waiting long queue at the front atm though,3,5.0,en,Positive,0.15542717086834734
Al Barid Bank,"63X7+VCJ, Bd Tarik Ibn Ziyad, Al Hoceïma 32000, Morocco",good nan they were so kind nan nan,5,5.0,en,Positive,0.6499999999999999
Al Barid Bank,"6FMW+RM8, El Jadida, Morocco",not bad barid bank post plateau near malab lachhab have terrible service lack of professionalism plus a stinking and unpleasant smell throughout the agency barid bank taken from water tower is mining service every day no conx of people he didnt want to work you only speak with security agent postal agency bank the new woman on the cash register is rubbish she doesnt receive customers so she does her job too slowly trying to reprovoke on the other hand the previous woman albaridbank i dont understand how to recruit you reemployees,5,2.2,en,Negative,-0.18392255892255893
Al Barid Bank,"6J7J+X5C, Biougra, Morocco",kinda the worst service ive ever used the prices of the customs is too much  good the slowest service ever,5,2.4,en,Negative,-0.15000000000000002
Al Barid Bank,"6J8G+Q74, Biougra, Morocco",gentle and good the timing of work is random contrary to what was announced on their website nan,2,3.0,en,Positive,0.1333333333333333
Al Barid Bank,"6J9G+7X3, Biougra, Morocco",nan the worst postal agency is a bank algishi is down most of the time nan,3,2.67,en,Negative,-0.21851851851851847
Al Barid Bank,"798M+FG5, Kenitra, Morocco",the worst service ive ever had in my life top service i wanted to share with you my recent experience with your service unfortunately i am disappointed to find that the level of service was unsatisfactory and i was particularly upset by the way i was treated by one of your managers as a customer i expect a high level of professionalism and courtesy and unfortunately that was not the case in this situation i sincerely hope that steps will be taken to improve this situation in the future service client poste deal at the top bravo to you le service est nul la satisfaction du client nest pas une priorit pour eux je regrette dix milles fois davoir choisi ce poste,5,2.6,en,Neutral,-0.042333333333333334
Al Barid Bank,"7C7M+36P, Berrechid, Morocco",nan,1,3.0,tl,Neutral,0.0
Al Barid Bank,"7C9G+PHV, Berrechid, Morocco",have dinner,1,5.0,no,Neutral,0.0
Al Barid Bank,"7CG8+2V3، Rue de la Mediouna، Berrechid, Morocco",the post office which offers a multitude of banking and messaging services nan nan,3,3.33,en,Neutral,0.1
Al Barid Bank,"7Q42+P6W, Safi, Morocco",nan not bad  professional machine repair home electricity and camera installation acceptable,5,3.2,en,Positive,0.22499999999999998
Al Barid Bank,"7QQ5+P9J, Av. Chahid Abdel Ali Ben Chekroune, Safi, Morocco",frankly speaking you are a private company that has something to do with a committee that is right to fire all employees god willing i will pay them a letter this month when other countries are like their service department and you are sitting there basking in the sun among people who are employed as rubbish belongings especially the city of safi is so marginalized that you are taking your rest wrong location nan love there is actually no,5,2.2,en,Neutral,0.05133928571428571
Al Barid Bank,"80652،، Agadir 80652, Morocco",small for the number of poeple using its services needs more employees but they are doing their best very poor service few staff i been here today i can tell their service is good enough they doing their best to help people so i appreciate the discipline with clients all i can say they are a good workers also i receive my package here always they offer days before return it back i recently visited this post office and found it to be quite busy it took a while to get my turn which was frustrating additionally i tried calling their number but was unable to get through to anyone overall i found the experience to be less than satisfactory booooooh you have to wait hours to send a letter i have never seen such a stupid post office,5,2.2,en,Neutral,0.06462962962962962
Al Barid Bank,"8GJ5+H86, Av. Brahim Erroudani, Aït Melloul 86150, Morocco",poor services and unworthy treatment of customers good nan not specifying the work timing and not adding the phone number the electronic window is poor always broken and the service is not smooth due to overcrowding the best interest is to deal with the employee and the manager only delivery zero zero zerooooooooooooooooo khassk always tamchi andhom tjib colia dyalek mamrhom yjiboha like the dar nan i tried to call times without a second thought,8,2.5,en,Neutral,0.019444444444444424
Al Barid Bank,"8JMP+2W3, Beni-Mellal, Morocco",this is bad service guys check for another place for money exchange you will find better rates in a lot of places not recommended bad service bad experience so bad service agents mislead customers with false informations a lazy employee who does not want to communicate and a new employee or clerk who does not know anything and wastes the customers time with incorrect information and lack of politeness in communication she refused to receive the application even though it was complete only because she did not understand that the authentication stamp is not just red and round it is unfortunate especially for us as a community outside morocco very bad servicemy card was caught in the machine and the agency manager did everything not to help me,5,1.4,en,Negative,-0.266096256684492
Al Barid Bank,"9CVJ+6G3, Agadir 80000, Morocco",it would be better to delete this bensercao postal center if the central administration cannot recruit it with competent employees and a sufficient number of them bensercao has no need for employees with a smile on their faces and they do not care about the citizens who are clients of the agency and the source of funding for morocco post so i ask you to either treat us in a humane manner befitting the name and history of morocco post or delete it completely so that we can rest from the torment of waiting and excessive use of the authority to procrastinate and dismiss the eyes what is wrong with the institution is the lack of employees it is unthinkable for a group of this size to have only two employees to serve hundreds of customers daily given the urban and population expansion that bensargao has known for more than years nd day at al barid bank bensergao and we still havent been able to open an account it leaves something to be desired for the processing no assistance incompetent staff no organization not enough places to sit people who come and dont respect the queue because they know someone there wellow what an improvement several hours of waiting before finally deciding to leave the establishment and open our account in another banking establishment incredible mishap today at the bank i take my ticket to wait and the security man has fun making people pass me by while im there waiting as if i had nothing else to do a bank to avoid and avoid we have no need for this institution in benserkau in particular nor in morocco in general incompetent employees poor reputation service nul points we have no need for this institution in benserkau in particular nor in morocco in general incompetent employees poor reputation service nul points it would be better to delete this bensercao postal center if the central administration cannot recruit it with competent employees and a sufficient number of them bensercao has no need for employees with a smile on their faces and they do not care about the citizens who are clients of the agency and the source of funding for morocco post so i ask you to either treat us in a humane manner befitting the name and history of morocco post or delete it completely so that we can rest from the torment of waiting and excessive use of the authority to procrastinate and dismiss the eyes what is wrong with the institution is the lack of employees it is unthinkable for a group of this size to have only two employees to serve hundreds of customers daily given the urban and population expansion that bensargao has known for more than years it would be better to delete this bensercao postal center if the central administration cannot recruit it with competent employees and a sufficient number of them bensercao has no need for employees with a smile on their faces and they do not care about the citizens who are clients of the agency and the source of funding for morocco post so i ask you to either treat us in a humane manner befitting the name and history of morocco post or delete it completely so that we can rest from the torment of waiting and excessive use of the authority to procrastinate and dismiss the eyes it would be better to delete this bensercao postal center if the central administration cannot recruit it with competent employees and a sufficient number of them bensercao has no need for employees with a smile on their faces and they do not care about the citizens who are clients of the agency and the source of funding for morocco post so i ask you to either treat us in a humane manner befitting the name and history of morocco post or delete it completely so that we can rest from the torment of waiting and excessive use of the authority to procrastinate and dismiss the eyes what is wrong with the institution is the lack of employees it is unthinkable for a group of this size to have only two employees to serve hundreds of customers daily given the urban and population expansion that bensargao has known for more than years incredible mishap today at the bank i take my ticket to wait and the security man has fun making people pass me by while im there waiting as if i had nothing else to do a bank to avoid and avoid we have no need for this institution in benserkau in particular nor in morocco in general incompetent employees poor reputation service nul points nd day at al barid bank bensergao and we still havent been able to open an account it leaves something to be desired for the processing no assistance incompetent staff no organization not enough places to sit people who come and dont respect the queue because they know someone there wellow what an improvement several hours of waiting before finally deciding to leave the establishment and open our account in another banking establishment incredible mishap today at the bank i take my ticket to wait and the security man has fun making people pass me by while im there waiting as if i had nothing else to do a bank to avoid and avoid incredible mishap today at the bank i take my ticket to wait and the security man has fun making people pass me by while im there waiting as if i had nothing else to do a bank to avoid and avoid nd day at al barid bank bensergao and we still havent been able to open an account it leaves something to be desired for the processing no assistance incompetent staff no organization not enough places to sit people who come and dont respect the queue because they know someone there wellow what an improvement several hours of waiting before finally deciding to leave the establishment and open our account in another banking establishment what is wrong with the institution is the lack of employees it is unthinkable for a group of this size to have only two employees to serve hundreds of customers daily given the urban and population expansion that bensargao has known for more than years nd day at al barid bank bensergao and we still havent been able to open an account it leaves something to be desired for the processing no assistance incompetent staff no organization not enough places to sit people who come and dont respect the queue because they know someone there wellow what an improvement several hours of waiting before finally deciding to leave the establishment and open our account in another banking establishment we have no need for this institution in benserkau in particular nor in morocco in general incompetent employees poor reputation service nul points,20,1.6,en,Neutral,0.0698717948717949
Al Barid Bank,"9F7F+C6H, Dcheira El Jihadia 80000, Morocco",very bad the bank is always full and there is a shortage and slowness of employees in the bank a normal experience there is no power nor strength except in god there is no power nor strength except in god bad service with the two new female civil servants i asked to change my agency to that of hay ilham but the answer was i dont have a form or a printout hhh welcome to th century morocco very bad the bank is always full and there is a shortage and slowness of employees in the bank very bad the bank is always full and there is a shortage and slowness of employees in the bank it is recommended to visit it between to am otherwise you will waste a lot of time one user serving many customers heavy traffic all day if you are in a hurry go somewhere else even atm is crowded good luck to everyone a normal experience there is no power nor strength except in god bad service with the two new female civil servants i asked to change my agency to that of hay ilham but the answer was i dont have a form or a printout hhh welcome to th century morocco very bad the bank is always full and there is a shortage and slowness of employees in the bank a normal experience bad service with the two new female civil servants i asked to change my agency to that of hay ilham but the answer was i dont have a form or a printout hhh welcome to th century morocco it is recommended to visit it between to am otherwise you will waste a lot of time one user serving many customers heavy traffic all day if you are in a hurry go somewhere else even atm is crowded good luck to everyone it is recommended to visit it between to am otherwise you will waste a lot of time one user serving many customers heavy traffic all day if you are in a hurry go somewhere else even atm is crowded good luck to everyone a normal experience bad service with the two new female civil servants i asked to change my agency to that of hay ilham but the answer was i dont have a form or a printout hhh welcome to th century morocco there is no power nor strength except in god it is recommended to visit it between to am otherwise you will waste a lot of time one user serving many customers heavy traffic all day if you are in a hurry go somewhere else even atm is crowded good luck to everyone,20,1.6,en,Neutral,0.05694214876033061
Al Barid Bank,"Avenue Ain S'men ، فاس, 2X6G+58Q، شارع عين السمن، Fès, Morocco",a good barid bank agency for all your operations to send or receive money it is also a bank to deposit money beautiful disservice catastrophic service from a to z security agent behaves like head of the agency i wait more than hours to tell me to come back the next day nan,5,2.8,en,Positive,0.41
Al Barid Bank,"BD HAJ M'HAMED BEN CHAKROUNE, Meknès 50013, Morocco",bashir abdel razzaq thanks you for your services and good treatment the worst mail very bad service this is not expected from al barid bank central waslan buildings agency waslan impeccable service and dedicated staff good air conditioning and cleanliness the director is accessible and helpful,5,2.8,en,Neutral,0.09611111111111113
Al Barid Bank,"Bd. Chouhada, 20560 Quartier: Hay Mohammadi, Casablanca, Casablanca 20100, Morocco",poorly organized agency and staff have bad attitudes especially unhelpful i received a kolya from chinoa months ago to arrive and in the end we returned it to the plaster they did not give me a paper they did not even try so at least i will come to her soon the bottom line is may god make it a commodity we dont answer the phone we work too to just have information on a package we have to take a day off and travel its the system is always broken there is no way of communicating there are always people in kitsunaw and they are always inside they always beat people they know that inch of your walk was different from that of dogs mail dtbi la service la taqloa kalik kaza offers,5,1.0,en,Negative,-0.24285714285714283
Al Barid Bank,"Bin Jradi, Boulevard Hassan II, Taza, Morocco",super,1,5.0,ro,Positive,0.3333333333333333
Al Barid Bank,"Casablanca 20250, Morocco",w i played with people i dont know what it is i honored the citizen there is no power or strength except with god almighty and i am grateful on i went to your agency to collect my registration document however due to a power outage it was impossible for me to finalize this process as the scanner necessary for digitizing the documents was not available this situation causes me significant harm because i am unable to use my vehicle without this registration document i understand that power outages are unpredictable events but it seems essential to me that contingency measures such as a backup scanner or a backup power supply are put in place to avoid this type of inconvenience i therefore ask you to kindly offer me a quick solution to recover my registration document as quickly as possible i remain at your disposal for any further information and i hope that you can handle this complaint with the necessary diligence pending your return i thank you in advance for your attention to my request and ask you to accept madam sir the expression of my distinguished greetings the agency needs to be more helpful to make a photocopy the customer is asked to look elsewhere and come back while this simple service can be provided by the agency its very important and effective,5,1.8,en,Neutral,0.048499999999999995
Al Barid Bank,"CCCG+RXR, Agadir 80000, Morocco",bad very bad service very bad service bad service very bad service bad bad service very bad service today i wanted to pay my tax duty so i wait for many hours andi was standing outside in front of a bank post so he went out to us a security man saying that the internet does not exist its a scandal and a shame very bad service very bad service today i wanted to pay my tax duty so i wait for many hours andi was standing outside in front of a bank post so he went out to us a security man saying that the internet does not exist its a scandal and a shame very bad service very bad service very bad service bad service very bad service today i wanted to pay my tax duty so i wait for many hours andi was standing outside in front of a bank post so he went out to us a security man saying that the internet does not exist its a scandal and a shame very bad service very bad service bad,15,1.0,en,Negative,-0.5675
Al Barid Bank,"F499+H75, Bd Mohammed V, Taroudant, Morocco",very bad very good please add more,2,3.0,en,Positive,0.1666666666666667
Al Barid Bank,"F4C8+563, Av. 20 Août, Taroudant, Morocco",overcrowding dont worry shams assas is substandard and the administrators are poor check yourselves hello i want information may god protect you what is your postal code there was a mistake in the zip code and i received the message from google adsense our zip code is we would appreciate your message thank you very poor service female employees who do not want to work their treatment is very bad service is so bad very good i used it a lot,5,2.2,en,Negative,-0.26999999999999996
Al Barid Bank,"F4CM+X35, Taroudant, Morocco",its usually crowded with people but in general the service is good i have gone to this places a couple of times and ive never had any problem nan very bad bad treatment of employees poor organization by employees and delays the service is very bad,3,2.33,en,Negative,-0.34571428571428564
Al Barid Bank,"GCQ5+C58, Casablanca, Morocco",nice and respectful reception speedy provision of services despite the lack of staff bad service from them and especially the veiled lady she doesnt speak politely the problem for me is that i dont have the national card i only have the receipt and she told me we dont accept the receipt we still have to wait a long time for the agency manager to explain to her why the card receipt was refused at this agency i absolutely dont like the service a bitter experience the employee is heavier than a turtle you feel like you are in torment shame and shame on the lack of unemployed youth or at least they have many employees i swear it is even shameful she asks the customer to dictate the account number over and over again you should wear prescription glasses closely this agency was created after the closure of the tah agency not far away abb has signed an agreement with narsa for driving license renewal procedures the smara agency refuses to process a narsa file,5,2.2,en,Neutral,0.05454545454545457
Al Barid Bank,"H88J+8R3 20220 Quartier:, Bd Oued Oum Errabia, Casablanca 20100, Morocco",very helpful useful fihom alet trabi mr chefnaha fchi ad service or kayna wahd li khdam or always system nd home til service nuuul terrible service you have to wait a long time to make a payment a single counter is open to carry out all banking transactions the moata mentality remains in our dear kingdom,5,1.6,en,Negative,-0.10357142857142858
Al Barid Bank,"H9RC+8RR, Bd Moussa ibn nouceir،, Casablanca 20012, Morocco",the lady at the counter has been having lunch since last thursday she made me waste so many hours simply sending packages hour break when the agency is supposed to be operational and then minutes because it has to put away the mail horrible service i eventually changed parcel shipping provider which made my life much easier im there now ive been a customer for years i only visited times maximum during these years an agency that doesnt even deserve to be called an agency still no staff agents who can insult you easily i have also been a bp customer for more than years and i have never had serious problems other than with la poste see you tomorrow to close this account stars its like barid bank dont know how to read ya ibad allah this is the biggest waste of time and effort and money in casa there hundreds of other services that deserve to be used not this waste of space they should close this agency and fire those people reader be warned take your business elsewhere if you have an account close it or leave it to never be used again youve been warned at this timeit is displayed that the agency is open however the girl at the counter refused to process my request she asked that i come back after an hourher lunch i dont understandat pm she refuses to let people in i am selfemployed and it is the last day to pay tax please tell me who i should contact to file my complaint it doesnt deserve any starsits just that google requires you to click on stars to publishi just read the reviews and i see that im not the only one the opening time shown as am is completely incorrect i have been in front of your agency since am and it is now am the door is still closed and the lights are off please correct this information,5,1.0,en,Neutral,-0.04047619047619047
Al Barid Bank,"HC6W+QQ7, Av. Colonel Driss El Allam, Casablanca 20670, Morocco",bad service i had to wait almost and a half hours just to get my bank card back disgusting behavior by employees who do not always respect customers the randomness of this agency will be a direct cause of change in the institution really lousy service every time i wentthe ko systemalmost times differentlyyou have to travel minutes to go to another agency the staff makes fun of us excellent service and staff at the required level all employees have half an hour starting at and closing time at,5,1.8,en,Negative,-0.11333333333333333
Al Barid Bank,"HCMG+XJG, Casablanca 20320, Morocco",very good at dealing with customers the service of this bank is generally poor while for this agency it is even worse very good at dealing with customers incompetent staff who seek to outdo customers by all means system which never works and go see the other agency to be avoided nan nan nan nan incompetent staff who seek to outdo customers by all means system which never works and go see the other agency to be avoided the service of this bank is generally poor while for this agency it is even worse,10,2.6,en,Neutral,-0.07300000000000002
Al Barid Bank,"HFG5+PWM Casablanca, Âïn-Harrouda 20670, Morocco",very good service very helpful manager nan,2,5.0,en,Positive,0.5549999999999999
Al Barid Bank,"HFVJ+GQJ, Bd Mohamed Al Bakkali, Casablanca 20250, Morocco",nan akfas servicekin here katsana am bach tdi gharad in le maroc akfas servicekin here katsana am bach tdi gharad in le maroc service nul service nul nan,6,2.33,en,Neutral,0.0
Al Barid Bank,"HH9X+2W3, Av. Omar Al Mokhtar, Tétouan, Morocco",nan small shop poor service its been weeks and the counter is still broken thank you all barid bank a space with multiple services sending and receiving money opening and payment of cnss payment of your invoice,5,3.0,en,Negative,-0.2625
Al Barid Bank,"HJCG+692, Av. Prince Héritier, Tétouan, Morocco",i recently went to barid bank and was very disappointed with the service although there were about people before me there was only one employee to handle all the requests this made the process extremely slow and i had to wait a very long time to settle my affairs all other positions were empty and it seemed like no effort was being made to improve efficiency this level of service is unacceptable and must be corrected to prevent customers from wasting hours on basic tasks atm available no charges you have to spend at least your whole day to get what you want and of course half of the posts are empty for unclear reasons its soo cool these days and soo cute tetan good service,5,3.6,en,Neutral,0.0011458333333333043
Al Barid Bank,"Immeuble N° 211 Lot Renaissance (213) Al Mansour Adahbi 12016, Témara, Morocco",bad services worst bank one of the worst barid banks in morocco one of the worst barid banks in morocco one of the worst barid banks in morocco bad service ma barid bank ma walo offered atm service while other agencies didnt had enough cash in the casettes bad services worst bank null bad service ma barid bank ma walo null null bad services worst bank offered atm service while other agencies didnt had enough cash in the casettes offered atm service while other agencies didnt had enough cash in the casettes bad service ma barid bank ma walo,15,1.6,en,Negative,-0.5874999999999999
Al Barid Bank,"J2C8+H8C, Marrakesh 40000, Morocco",attempted to withdraw cash around am on a weekday machine was out of cash as was the other nearby barid bank atm in jama el fna disappointing considering how popular this atm is for tourists works perfectly fine with revolut cards when you have mad currency on your account no fees from atm only revolut fees depending on your revolut plan no fees for revolut card who uses mad currency perfect atm for travelers works perfectly fine used my wise card and the was not charged any transaction fee the only bank in morocco where the atm does not charge additional fee for revolut cards,5,4.6,en,Positive,0.10530303030303031
