bank_name,branch_name,location,review_text,rating,review_date
Attijariwafa Bank,"Attijariwafabank, Agence Hay El Hanaa, Hay Hassani.","Bd Sidi Abderrahmane, Casablanca 20250, Morocco",,5,2024-09-18
Attijariwafa Bank,"Attijariwafabank, Agence Hay El Hanaa, Hay Hassani.","Bd Sidi Abderrahmane, Casablanca 20250, Morocco",,2,2024-06-06
Attijariwafa Bank,"Attijariwafabank, Agence Hay El Hanaa, Hay Hassani.","Bd Sidi Abderrahmane, Casablanca 20250, Morocco",,5,2023-11-04
Attijariwafa Bank,Attijariwafa Bank,"H8C7+X4Q, Rte d'Azemmour, Casablanca, Morocco","The only bank in the world that does not care about its customers. If you opened your account in another branch of the bank, you cannot withdraw money from there. Can you imagine not being able to get your own money :))",1,2024-09-20
Attijariwafa Bank,Attijariwafa Bank,"H8C7+X4Q, Rte d'Azemmour, Casablanca, Morocco",Courage,5,2023-07-18
Attijariwafa Bank,Attijariwafa Bank,"H8C7+X4Q, Rte d'Azemmour, Casablanca, Morocco","The worst bank ever.
Haughty cashiers who don't even know their jobs.
Waiting times too long.
Cashiers laughing at customers.
We need a Danone-style boycott campaign so that they understand that the money in the accounts belongs to customers!
To flee preferred another bank.
For my part, as an entrepreneur I closed my accounts with them",1,2024-08-15
Attijariwafa Bank,Attijariwafa Bank,"H8C7+X4Q, Rte d'Azemmour, Casablanca, Morocco",The best bank in Morocco. I really like this agency. The team is very helpful and competent.,5,2024-09-17
Attijariwafa Bank,Attijariwafa Bank,"H8C7+X4Q, Rte d'Azemmour, Casablanca, Morocco",Cashier did not learn politeness and punctuality,1,2024-07-31
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco","Worst agency, 0 communication, no one answers our calls",1,2024-05-31
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco",Inappropriate and offensive photo for a Muslim country. I hope they’ll remove this soon.,1,2024-01-10
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco",Good service,4,2017-09-10
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco","It’s a lousy agency!!! We never get an answer on phone, we always have to travel!!! The staff has no respect for the customer, a long queue and he drinks his coffee strangely. If it had less than 1 star I would have marked it!!",1,2024-03-06
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco","Zero star was intended for it, but unfortunately. Two days of communication from France, and no one can answer. God is sufficient for us, and He is the best disposer of affairs. Answering the phone is not at your service, this nonsense, all the expressions are not enough for me to express my regret for sharing with you.",1,2022-06-07
Attijariwafa Bank,"Attijariwafa Bank, Agence Ali Yaata.","HCVR+HRW, Bd Ibn Al Ouanane, Casablanca 20250, Morocco",Excellent service commercial,5,2023-05-23
Attijariwafa Bank,"Attijariwafa Bank, Agence Ali Yaata.","HCVR+HRW, Bd Ibn Al Ouanane, Casablanca 20250, Morocco",Excellent service commercial,5,2023-05-19
Attijariwafa Bank,"Attijariwafa Bank, Agence Ali Yaata.","HCVR+HRW, Bd Ibn Al Ouanane, Casablanca 20250, Morocco",Bon service Commercial,5,2023-05-23
Attijariwafa Bank,"Attijariwafa Bank, Agence Ali Yaata.","HCVR+HRW, Bd Ibn Al Ouanane, Casablanca 20250, Morocco",I was very well received by the customer advisor. Very professional and very competent,5,2023-05-23
Attijariwafa Bank,"Attijariwafa Bank, Agence Ali Yaata.","HCVR+HRW, Bd Ibn Al Ouanane, Casablanca 20250, Morocco","Professionalism and very good customer service.
A special thank you to Commercial Marouane.",5,2023-05-29
Attijariwafa Bank,Attijariwafa Bank,"724 Av. du 6 Novembre 1975, Casablanca, Morocco","Hello, bank to avoid if I could it would be a good 0.
For my experience: after having noticed a withdrawal from my Attijariwafabank account of the casa cite djemaa agency in favor of a closed Attijari savings contract (with additional opening and management costs) opened according to them by me in 08/2024 , I dispute it and make a complaint. For three months I have been making complaints without follow-up with the request to provide me with the savings contract that I signed (while knowing that it has been years since I went to this bank so I know that someone has that for me). Still no response, I will make my complaint to Bank al Maghrib and close this account in this establishment which should be avoided at full speed with questionable openings and a blatant lack of transparency.",1,2024-11-26
Attijariwafa Bank,Attijariwafa Bank,"724 Av. du 6 Novembre 1975, Casablanca, Morocco",👍,5,2022-03-05
Attijariwafa Bank,Attijariwafa Bank,"724 Av. du 6 Novembre 1975, Casablanca, Morocco",,1,2025-03-14
Attijariwafa Bank,Attijariwafa Bank,"724 Av. du 6 Novembre 1975, Casablanca, Morocco",,1,2022-10-05
Attijariwafa Bank,Attijariwafa Bank,"724 Av. du 6 Novembre 1975, Casablanca, Morocco",,4,2017-02-23
Attijariwafa Bank,Attijariwafa Bank,"HC3F+85G, Av. Reda Guedira, Casablanca, Morocco","SlDUdELSAMD 🧏‍♂️🦻☝️🤲🙏
+212670104788",1,2023-06-22
Attijariwafa Bank,Attijariwafa Bank,"HC3F+85G, Av. Reda Guedira, Casablanca, Morocco",nice,5,2023-01-22
Attijariwafa Bank,Attijariwafa Bank,"HC3F+85G, Av. Reda Guedira, Casablanca, Morocco","SlDUdELSAMD
+212639-762675
01111973",2,2022-03-04
Attijariwafa Bank,Attijariwafa Bank,"HC3F+85G, Av. Reda Guedira, Casablanca, Morocco","Attijariwafa Bank
The #white city
The g#sleep
Street #Rida Kadira",3,2021-03-10
Attijariwafa Bank,Attijariwafa Bank,"HC3F+85G, Av. Reda Guedira, Casablanca, Morocco",,4,2017-07-04
Attijariwafa Bank,AttijariWafa Bank Maarif,"8 Bd Yacoub El Mansour, Casablanca 20250, Morocco",Correct,3,2022-01-10
Attijariwafa Bank,AttijariWafa Bank Maarif,"8 Bd Yacoub El Mansour, Casablanca 20250, Morocco","My experience with you has been more than twenty-five years, but now I do not know how to contact you. It was the branch number, but it has not been busy for a year. Please provide me with any information. Thank you.",5,2025-02-20
Attijariwafa Bank,AttijariWafa Bank Maarif,"8 Bd Yacoub El Mansour, Casablanca 20250, Morocco","Attijariwafa Bank, Maarif Agency, at the intersection of Ibrahim Al-Roudani Street, Yacoub Al-Mansour Street, and Ben Djilali Taj Al-Din Alley, opposite the Alsa company’s garage for urban transport buses, and near Bir Anzeran Street, in the Maarif district, in the city of Casablanca.",3,2022-09-14
Attijariwafa Bank,AttijariWafa Bank Maarif,"8 Bd Yacoub El Mansour, Casablanca 20250, Morocco","Really people who work in this agency (Ms. Imane......) are professional on the other hand, people at the AWB Moulay Youssef head office who are worse and unprofessional.",3,2022-09-01
Attijariwafa Bank,AttijariWafa Bank Maarif,"8 Bd Yacoub El Mansour, Casablanca 20250, Morocco",The cashiers are not honest.,2,2022-02-04
Attijariwafa Bank,Attijari Wafa Bank Agence Sokrate,"H9F4+XXC, Bd Yacoub El Mansour, Casablanca, Morocco",biggest mistake ! relation client allah ijib,1,2024-10-04
Attijariwafa Bank,Attijari Wafa Bank Agence Sokrate,"H9F4+XXC, Bd Yacoub El Mansour, Casablanca, Morocco",Lack of amability of the staff over there,2,2021-08-15
Attijariwafa Bank,Attijari Wafa Bank Agence Sokrate,"H9F4+XXC, Bd Yacoub El Mansour, Casablanca, Morocco",Good location,4,2019-12-12
Attijariwafa Bank,Attijari Wafa Bank Agence Sokrate,"H9F4+XXC, Bd Yacoub El Mansour, Casablanca, Morocco",Good service,5,2018-02-22
Attijariwafa Bank,Attijari Wafa Bank Agence Sokrate,"H9F4+XXC, Bd Yacoub El Mansour, Casablanca, Morocco",Sig attijari wafabank,5,2017-07-25
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco",Was on the phone with them about a concern and they HUNG up the phone and left it disconnected. Very unprofessional people that need training. Filing a complaint with Headquarters in Casablanca about their unprofessionalism to help a client rectify a matter on their system.,1,2022-06-24
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco",ATM not working properly,1,2025-01-20
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco","Poor service... The ATM doesn't function, like 90% of the time, and the queue is very very slow... It can take a work day !!!!!!",1,2022-09-18
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco",No one answer the phone ... the service is bad... they dont deserve a star 0/10...,1,2022-06-20
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco",Service 👎👎,1,2023-02-07
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco","Atijariwafa bank is definitely the best bank when it comes to small businesses.They have consistently churned out policies aimed at ensuring financial inclusion for all spectrums of Moroccan businesses. It is also noted for making significant entries into the larger African market.Well this head quarters is an Architectural masterpiece isn’t it? Since i love architecture and basing on the reputation of this bank, i would give them 5star any day!!",5,2018-05-22
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco","I got scammed online , and tried to call the customer service at around 1 am no answer at all , they said 24h 7j/7 but its just a lie , furthermore once i call them today at 10h30 the girl named Fatimzahra working in Casablanca moulay youssef street is really treating her customers with a very bad way and they give wrong informations , one of them evenhang up in my face because she said shecant hear me and hang up without giving me time to answer  and i know that she can hear me , they are behaving like if they are the owner of attijari , if u continue like that you will lose your reputation soon , u r just hiring some staff who doesnt wanna work
If its concerning opening new account they will treat u with a nice way and if i get a problem they will try to run away
I dont advice you to deal with such bank , if there is no customer service  there is nothing at all
00000000000",1,2024-10-08
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco","This a review for the Bank on moulay youssef next to Pizza hut. They have major problems with treating their customers with respect. I don't know what is wrong with them but this problem has been going on for years at this bank. They are rude, unprofessional,  bad attitudes. The only professional person there is the doorman who has always been kind. There has to be something wrong with management or in hiring. I will be changing branches soon because dealing with unprofessional people like this is intolerable, especially during Ramadan when you'd think they'd be nicer ,but NOPE!",1,2024-04-08
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco","It’s about a month now i have an issue with login on the app also the same issue appear on website, when i try to login and i’m sure about my identification and password i always get error of authentication on mobile app and on website i get an alert box has message of page not found.

i don’t know what should i do to resolve this issue from my part because i tried effort i have going to agency, calling client center and sending multiple emails with screenshot and even video recording describe the issue very well and without result so far.

this is my latest message review if the problem is not resolved i will not have other choice than closing my account on this bank and open it in another one",1,2023-08-31
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco",nice,5,2025-03-28
Attijariwafa Bank,Attijariwafa Agence Hassan I,"W35H+2CH, Temara 12000, Morocco","Litterally the worst service I've received in a bank so far. My passport was accepted as form of identity in all bank agencies.. then I was told my passport wasn't accepted after I was standing in front of her for 10 minutes with my passport in my hand..

such ugly overwight low lives make life difficult!!",1,2023-07-24
Attijariwafa Bank,Attijariwafa Agence Hassan I,"W35H+2CH, Temara 12000, Morocco","ABSOLUTELY THE WORST OF THE WORST SERVICE ,RUDE ATTITUDE,UNPROFESSIONAL MANAGEMENT.",1,2024-05-18
Attijariwafa Bank,Attijariwafa Agence Hassan I,"W35H+2CH, Temara 12000, Morocco",Service zeroo wshefara,1,2024-03-22
Attijariwafa Bank,Attijariwafa Agence Hassan I,"W35H+2CH, Temara 12000, Morocco",Run away !!! Worst agency ever !,1,2023-07-24
Attijariwafa Bank,Attijariwafa Agence Hassan I,"W35H+2CH, Temara 12000, Morocco",BAD SERVICE,1,2022-10-18
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco",Was on the phone with them about a concern and they HUNG up the phone and left it disconnected. Very unprofessional people that need training. Filing a complaint with Headquarters in Casablanca about their unprofessionalism to help a client rectify a matter on their system.,1,2022-06-24
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco",ATM not working properly,1,2025-01-20
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco","Poor service... The ATM doesn't function, like 90% of the time, and the queue is very very slow... It can take a work day !!!!!!",1,2022-09-18
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco",No one answer the phone ... the service is bad... they dont deserve a star 0/10...,1,2022-06-20
Attijariwafa Bank,Attijariwafa Bank,"av Mohammed V Avenue Mohamed V Témara MA، W37G+XX6 ang، Av. du Caire, Temara 12010, Morocco",Service 👎👎,1,2023-02-07
Attijariwafa Bank,"Attijariwafa bank, Tarik El Kheir","JG53+RF7, Casablanca, Morocco",Excellent job,5,2023-08-15
Attijariwafa Bank,"Attijariwafa bank, Tarik El Kheir","JG53+RF7, Casablanca, Morocco",Excellent job,5,2023-05-28
Attijariwafa Bank,"Attijariwafa bank, Tarik El Kheir","JG53+RF7, Casablanca, Morocco","Agency to avoid absolutely! The service is non-existent, no customer support, and catastrophic management. But the worst remains the unacceptable behavior of the head of the agency, disrespectful, aggressive and totally incompetent. He even tried to hit me, an unacceptable attitude in a banking establishment. I strongly recommend this agency to anyone looking for a serious and professional service.",1,2025-02-18
Attijariwafa Bank,"Attijariwafa bank, Tarik El Kheir","JG53+RF7, Casablanca, Morocco","The work team is consistent and helpful
The agency director is the right man in the right place
May God bless them",5,2024-04-17
Attijariwafa Bank,"Attijariwafa bank, Tarik El Kheir","JG53+RF7, Casablanca, Morocco","2023 This agency, which remains yours, will no longer serve you so that you can proceed with them to handle matters related to your account.
0Deal 0Communicate",1,2023-01-26
Attijariwafa Bank,Attijari Wafabank Agence Casa Bernoussi Al Qods,"JG97+X9P, Bd Allait Ibn Asaad, Casablanca 20250, Morocco","Still no network and even the counter for deposit or withdrawal rarely works. On Sunday don't even try to come, probably 100% no money",1,2025-03-11
Attijariwafa Bank,Attijari Wafabank Agence Casa Bernoussi Al Qods,"JG97+X9P, Bd Allait Ibn Asaad, Casablanca 20250, Morocco","The cash register stops for 1 hour during lunch break, no one replaces him, Friday worse 1h30 break, he starts counting money from the ATM and leaves customers waiting for 40min. Very bad service I change banks.",1,2024-09-27
Attijariwafa Bank,Attijari Wafabank Agence Casa Bernoussi Al Qods,"JG97+X9P, Bd Allait Ibn Asaad, Casablanca 20250, Morocco","I would like to share an opinion after my last experience with this agency.
I came back to Casa for a day before going abroad the next day, my day's schedule was super busy, I had no room for error.
I showed up at the agency around 3 p.m. to sort something out quickly, I found a young man in front of me already waiting for the sales advisor. I inquire, the security agent explains to me that the advisor is on lunch break (no problem, it's normal and understandable).
We wait, 3:20 p.m., the advisor has returned, he processes the young man's request. Once finished, the M. leaves, I sit at the office, the advisor gets up and says to me ""one minute, I'll be back"" then he leaves the agency... okay.
5 minutes later, I go out to check what's going on, the advisor is chatting with a quiet friend.... he sees me waiting for him in front of the door, he comes in... he doesn't apologize,... I tell him a minute it's not 5 minutes.
he tells me ""5min MACHI BEZAF""... we get into the discussion that I've already waited 20min before, that's 25min, break already blah blah... and then he throws me: ""20+5 hia 25min, I'm entitled to 30min, I can get up daba nit nmchi nkémél my break w nkhelik hna""! Dragon ball level cheekiness and rudeness!
Not having time to waste, I avoid wasting any more time hit mamsaliyach, otherwise, I would have spent the afternoon there to clarify this language and these manners! but hey, I adjust my 30 second thing to more than 30 min in the end.
For the summary:
* The cashiers: nothing to say each time, very professional and hardworking!
* Former sales advisor RAJAA a gem! smile and availability, nothing to say.
* The current advisor: lazy and lazy!... Rudeness, lack of professionalism, vulgarity, zero courtesy, lack of interpersonal intelligence, immature... difficult to see him in a customer relations position or to imagine him evolving in the banking sector.",1,2024-02-10
Attijariwafa Bank,Attijari Wafabank Agence Casa Bernoussi Al Qods,"JG97+X9P, Bd Allait Ibn Asaad, Casablanca 20250, Morocco","Service catastrophe
In my situation inside the Dima district, one of them did not pray like a mushroom......he did not respect the customer, he did not care.
One of the 3 who open up to people because their bank is the cheapest bank I have ever seen in my life.....disdain for nepotism",1,2023-12-12
Attijariwafa Bank,Attijari Wafabank Agence Casa Bernoussi Al Qods,"JG97+X9P, Bd Allait Ibn Asaad, Casablanca 20250, Morocco",Agency too clean as well as their service the staff are attentive at all times more than the only agency in the neighborhood I hope to open another at the level of boulevard AL IMAM MALIK it gives a bright color to the level of boulevard good luck hats off 🎩,5,2018-07-05
Attijariwafa Bank,Commercial Bank of Wafa,"HFGJ+HPV, Rte Al Anassi, Casablanca 20250, Morocco","Poor service, one of the agents tried to insult me , they deserve 0 star",1,2023-11-24
Attijariwafa Bank,Commercial Bank of Wafa,"HFGJ+HPV, Rte Al Anassi, Casablanca 20250, Morocco",Bad service! rude and unfriendly agents,1,2023-07-24
Attijariwafa Bank,Commercial Bank of Wafa,"HFGJ+HPV, Rte Al Anassi, Casablanca 20250, Morocco",Good one,3,2018-04-20
Attijariwafa Bank,Commercial Bank of Wafa,"HFGJ+HPV, Rte Al Anassi, Casablanca 20250, Morocco","I am extremely disappointed by the Attijari sidi moumen extension agency where my account was transferred professionally and personally following the closure of my original agency, without my agreement. The service is deplorable. I was the victim of a cashier who stole 5000 dirhams from my account, just like other customers, then they fired him, without compensation. In addition, the manager is very unpleasant and the account manager company fails to provide me with an amortization table for my property loan. This agency seriously harms Attijari's image. I sincerely regret that my account was transferred here.",1,2025-01-08
Attijariwafa Bank,Commercial Bank of Wafa,"HFGJ+HPV, Rte Al Anassi, Casablanca 20250, Morocco",The service has deteriorated significantly to the point of zero. Insolent agency head. No respect for the customer's time. I have traveled twice for the same service which has still not been provided. I'm changing banks.,1,2024-11-07
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco","Atijariwafa bank is definitely the best bank when it comes to small businesses.They have consistently churned out policies aimed at ensuring financial inclusion for all spectrums of Moroccan businesses. It is also noted for making significant entries into the larger African market.Well this head quarters is an Architectural masterpiece isn’t it? Since i love architecture and basing on the reputation of this bank, i would give them 5star any day!!",5,2018-05-22
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco","I got scammed online , and tried to call the customer service at around 1 am no answer at all , they said 24h 7j/7 but its just a lie , furthermore once i call them today at 10h30 the girl named Fatimzahra working in Casablanca moulay youssef street is really treating her customers with a very bad way and they give wrong informations , one of them evenhang up in my face because she said shecant hear me and hang up without giving me time to answer  and i know that she can hear me , they are behaving like if they are the owner of attijari , if u continue like that you will lose your reputation soon , u r just hiring some staff who doesnt wanna work
If its concerning opening new account they will treat u with a nice way and if i get a problem they will try to run away
I dont advice you to deal with such bank , if there is no customer service  there is nothing at all
00000000000",1,2024-10-08
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco","This a review for the Bank on moulay youssef next to Pizza hut. They have major problems with treating their customers with respect. I don't know what is wrong with them but this problem has been going on for years at this bank. They are rude, unprofessional,  bad attitudes. The only professional person there is the doorman who has always been kind. There has to be something wrong with management or in hiring. I will be changing branches soon because dealing with unprofessional people like this is intolerable, especially during Ramadan when you'd think they'd be nicer ,but NOPE!",1,2024-04-08
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco","It’s about a month now i have an issue with login on the app also the same issue appear on website, when i try to login and i’m sure about my identification and password i always get error of authentication on mobile app and on website i get an alert box has message of page not found.

i don’t know what should i do to resolve this issue from my part because i tried effort i have going to agency, calling client center and sending multiple emails with screenshot and even video recording describe the issue very well and without result so far.

this is my latest message review if the problem is not resolved i will not have other choice than closing my account on this bank and open it in another one",1,2023-08-31
Attijariwafa Bank,Attijariwafa Bank (Siège Social),"2 Bd Moulay Youssef, Casablanca 20250, Morocco",nice,5,2025-03-28
Attijariwafa Bank,Attijariwafa Bank,"W3CG+3GP, N1, Temara, Morocco",Correct,3,2016-04-19
Attijariwafa Bank,Attijariwafa Bank,"W3CG+3GP, N1, Temara, Morocco","Agency to flee!!!!
Unreachable by telephone.
The advisor is INCOMPETENT and does not respect her commitments.
My last credit card expired in 09/23 and I am still waiting to receive the new one. Of course the annual contribution has been deducted. I was passing through Morocco last January and I thought I would get my card back and I learned that it was not even validated. She therefore promises me that it will be available on 01/23.
Almost ONE MONTH and still no news!!!!!",1,2024-02-22
